cve,epss,percentile,date
CVE-2025-9796,0.00039,0.11059,2025-10-20
CVE-2025-9794,0.00053,0.16399,2025-10-20
CVE-2025-9789,0.00048,0.14718,2025-10-20
CVE-2025-11031,0.00108,0.29653,2025-10-20
CVE-2025-10779,0.00066,0.20601,2025-10-20
CVE-2025-10769,0.0005,0.15225,2025-10-20
CVE-2025-10083,0.00055,0.17156,2025-10-20
CVE-2025-9923,0.00049,0.14924,2025-10-21
CVE-2025-9801,0.00066,0.20576,2025-10-21
CVE-2025-9800,0.00055,0.17177,2025-10-21
CVE-2025-9796,0.00039,0.11023,2025-10-21
CVE-2025-9794,0.00053,0.16387,2025-10-21
CVE-2025-9789,0.00048,0.14707,2025-10-21
CVE-2025-11031,0.00108,0.29653,2025-10-21
CVE-2025-10779,0.00066,0.20574,2025-10-21
CVE-2025-10769,0.0005,0.15216,2025-10-21
CVE-2025-10083,0.00055,0.1714,2025-10-21
CVE-2025-9923,0.00049,0.14951,2025-10-22
CVE-2025-9801,0.00089,0.26248,2025-10-22
CVE-2025-9800,0.00055,0.17208,2025-10-22
CVE-2025-9796,0.00039,0.11064,2025-10-22
CVE-2025-9794,0.00053,0.16411,2025-10-22
CVE-2025-9789,0.00048,0.14735,2025-10-22
CVE-2025-11031,0.00108,0.29672,2025-10-22
CVE-2025-10779,0.00066,0.20602,2025-10-22
CVE-2025-10769,0.0005,0.15241,2025-10-22
CVE-2025-10083,0.00055,0.17171,2025-10-22
CVE-2025-9923,0.00049,0.15053,2025-10-23
CVE-2025-9801,0.00089,0.26316,2025-10-23
CVE-2025-9800,0.00055,0.17304,2025-10-23
CVE-2025-9796,0.00039,0.11139,2025-10-23
CVE-2025-9794,0.00053,0.16507,2025-10-23
CVE-2025-9789,0.00048,0.14835,2025-10-23
CVE-2025-11031,0.00108,0.29738,2025-10-23
CVE-2025-10779,0.00088,0.26185,2025-10-23
CVE-2025-10769,0.00057,0.17873,2025-10-23
CVE-2025-10083,0.00055,0.17267,2025-10-23
CVE-2025-9923,0.00049,0.15054,2025-10-24
CVE-2025-9801,0.00089,0.26304,2025-10-24
CVE-2025-9800,0.00055,0.17288,2025-10-24
CVE-2025-9796,0.00039,0.11072,2025-10-24
CVE-2025-9794,0.00053,0.1651,2025-10-24
CVE-2025-9789,0.00048,0.14836,2025-10-24
CVE-2025-11031,0.00108,0.29739,2025-10-24
